2017/04/23 00:04:11 [release] Leaf 1.1.2 starting up
2017/04/23 00:04:11 [debug  ] Game Module Run	111
2017/04/23 00:04:11 [debug  ] Gate Module Run
2017/04/23 01:54:28 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:54:33 [debug  ] read message: EOF
2017/04/23 01:54:33 [debug  ] gs read message: read tcp 127.0.0.1:58523->127.0.0.1:8890: use of closed network connection
2017/04/23 01:54:35 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:54:37 [debug  ] read message: EOF
2017/04/23 01:54:37 [debug  ] gs read message: read tcp 127.0.0.1:58525->127.0.0.1:8890: use of closed network connection
2017/04/23 01:54:39 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:54:45 [debug  ] read message: EOF
2017/04/23 01:54:45 [debug  ] gs read message: read tcp 127.0.0.1:58529->127.0.0.1:8890: use of closed network connection
2017/04/23 01:54:48 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:55:00 [debug  ] read message: EOF
2017/04/23 01:55:00 [debug  ] gs read message: read tcp 127.0.0.1:58533->127.0.0.1:8890: use of closed network connection
2017/04/23 01:55:02 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:55:08 [debug  ] read message: EOF
2017/04/23 01:55:08 [debug  ] gs read message: read tcp 127.0.0.1:58541->127.0.0.1:8890: use of closed network connection
