2017/06/27 00:07:00 [release] Leaf 1.1.2 starting up
2017/06/27 00:07:00 [debug  ] Gate Module Run
2017/06/27 14:57:48 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59729->127.0.0.1:8890: use of closed network connection
2017/06/27 14:58:00 [debug  ] read message: EOF
2017/06/27 14:58:00 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59751->127.0.0.1:8890: use of closed network connection
2017/06/27 15:12:29 [debug  ] read message: EOF
2017/06/27 15:12:29 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:60540->127.0.0.1:8890: use of closed network connection
2017/06/27 22:09:42 [debug  ] read message: EOF
2017/06/27 22:09:42 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58658->127.0.0.1:8890: use of closed network connection
2017/06/27 22:10:16 [debug  ] read message: EOF
2017/06/27 22:10:16 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58729->127.0.0.1:8890: use of closed network connection
2017/06/27 22:10:27 [debug  ] read message: EOF
2017/06/27 22:10:27 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58743->127.0.0.1:8890: use of closed network connection
2017/06/27 22:10:59 [debug  ] read message: EOF
2017/06/27 22:10:59 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58767->127.0.0.1:8890: use of closed network connection
2017/06/27 22:11:24 [debug  ] read message: EOF
2017/06/27 22:11:24 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58795->127.0.0.1:8890: use of closed network connection
2017/06/28 02:11:57 [debug  ] read message: EOF
2017/06/28 02:11:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51875->127.0.0.1:8890: use of closed network connection
2017/06/28 02:12:25 [debug  ] read message: EOF
2017/06/28 02:12:25 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51963->127.0.0.1:8890: use of closed network connection
2017/06/28 02:42:42 [debug  ] read message: EOF
2017/06/28 02:42:42 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55609->127.0.0.1:8890: use of closed network connection
2017/06/28 02:44:53 [debug  ] read message: EOF
2017/06/28 02:44:53 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55929->127.0.0.1:8890: use of closed network connection
2017/06/28 02:49:01 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/28 02:49:01 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56192: use of closed network connection
2017/06/28 02:49:06 [release] Leaf closing down (signal: interrupt)
